yearID,W,L,R,H,2B,3B,HR,name
2011,71,91,593,1284,247,42,91,San Diego Padres
2011,67,95,556,1263,253,22,109,Seattle Mariners
2011,86,76,570,1327,282,24,121,San Francisco Giants
2011,90,72,762,1513,308,22,162,St. Louis Cardinals
2011,91,71,707,1324,273,37,172,Tampa Bay Rays
2011,96,66,855,1599,310,32,210,Texas Rangers
2011,81,81,743,1384,285,34,186,Toronto Blue Jays
2011,80,81,624,1319,257,22,154,Washington Nationals
2012,81,81,734,1416,307,33,165,Arizona Diamondbacks
2012,94,68,700,1341,263,30,149,Atlanta Braves
2012,93,69,712,1375,270,16,214,Baltimore Orioles
2012,69,93,734,1459,339,16,165,Boston Red Sox
2012,85,77,748,1409,228,29,211,Chicago White Sox
2012,61,101,613,1297,265,36,137,Chicago Cubs
2012,97,65,669,1377,296,30,172,Cincinnati Reds
2012,68,94,667,1385,266,24,136,Cleveland Indians
2012,64,98,758,1526,306,52,166,Colorado Rockies
2012,88,74,726,1467,279,39,163,Detroit Tigers
2012,55,107,583,1276,238,28,146,Houston Astros
2012,72,90,676,1492,295,37,131,Kansas City Royals
2012,89,73,767,1518,273,22,187,Los Angeles Angels of Anaheim
2012,86,76,637,1369,269,23,116,Los Angeles Dodgers
2012,69,93,609,1327,261,39,137,Miami Marlins
2012,83,79,776,1442,300,39,202,Milwaukee Brewers
2012,66,96,701,1448,270,30,131,Minnesota Twins
2012,95,67,804,1462,280,13,245,New York Yankees
2012,74,88,650,1357,286,21,139,New York Mets
2012,94,68,713,1315,267,32,195,Oakland Athletics
2012,81,81,684,1414,271,28,158,Philadelphia Phillies
2012,79,83,651,1313,241,37,170,Pittsburgh Pirates
2012,76,86,651,1339,272,43,121,San Diego Padres
2012,75,87,619,1285,241,27,149,Seattle Mariners
2012,94,68,718,1495,287,57,103,San Francisco Giants
2012,88,74,765,1526,290,37,159,St. Louis Cardinals
2012,90,72,697,1293,250,30,175,Tampa Bay Rays
2012,93,69,808,1526,303,32,200,Texas Rangers
2012,73,89,716,1346,247,22,198,Toronto Blue Jays
2012,98,64,731,1468,301,25,194,Washington Nationals
2013,81,81,685,1468,302,31,130,Arizona Diamondbacks
2013,96,66,688,1354,247,21,181,Atlanta Braves
2013,85,77,745,1460,298,14,212,Baltimore Orioles
2013,97,65,853,1566,363,29,178,Boston Red Sox
2013,63,99,598,1385,237,19,148,Chicago Cubs
2013,66,96,602,1307,297,18,172,Chicago White Sox
2013,90,72,698,1370,274,20,155,Cincinnati Reds
2013,92,70,745,1391,290,23,171,Cleveland Indians
2013,74,88,706,1511,283,36,159,Colorado Rockies
2013,93,69,796,1625,292,23,176,Detroit Tigers
2013,51,111,610,1307,266,16,148,Houston Astros
2013,86,76,648,1443,254,34,112,Kansas City Royals
2013,78,84,733,1476,270,39,164,Los Angeles Angels of Anaheim
2013,92,70,649,1447,281,17,138,Los Angeles Dodgers
2013,62,100,513,1257,219,31,95,Miami Marlins
2013,74,88,640,1381,238,43,157,Milwaukee Brewers
2013,66,96,614,1346,285,15,151,Minnesota Twins
2013,85,77,650,1321,247,24,144,New York Yankees
2013,74,88,619,1318,263,32,130,New York Mets
2013,96,66,767,1403,301,25,186,Oakland Athletics
2013,73,89,610,1355,255,32,140,Philadelphia Phillies
2013,94,68,634,1346,273,35,161,Pittsburgh Pirates
2013,76,86,618,1349,246,26,146,San Diego Padres
2013,71,91,624,1318,249,17,188,Seattle Mariners
2013,76,86,629,1446,280,35,107,San Francisco Giants
2013,97,65,783,1494,322,20,125,St. Louis Cardinals
2013,92,71,700,1421,296,23,165,Tampa Bay Rays
2013,91,72,730,1465,262,23,176,Texas Rangers
2013,74,88,712,1398,273,24,185,Toronto Blue Jays
2013,86,76,656,1365,259,27,161,Washington Nationals
2014,64,98,615,1379,259,47,118,Arizona Diamondbacks
2014,79,83,573,1316,240,22,123,Atlanta Braves
2014,96,66,705,1434,264,16,211,Baltimore Orioles
2014,71,91,634,1355,282,20,123,Boston Red Sox
2014,73,89,660,1400,279,32,155,Chicago Cubs
2014,73,89,614,1315,270,31,157,Chicago White Sox
2014,76,86,595,1282,254,20,131,Cincinnati Reds
2014,85,77,669,1411,284,23,142,Cleveland Indians
2014,66,96,755,1551,307,41,186,Colorado Rockies
2014,90,72,757,1557,325,26,155,Detroit Tigers
2014,70,92,629,1317,240,19,163,Houston Astros
2014,89,73,651,1456,286,29,95,Kansas City Royals
2014,98,64,773,1464,304,31,155,Los Angeles Angels of Anaheim
2014,94,68,718,1476,302,38,134,Los Angeles Dodgers
2014,77,85,645,1399,254,36,122,Miami Marlins
2014,82,80,650,1366,297,28,150,Milwaukee Brewers
2014,70,92,715,1412,316,27,128,Minnesota Twins
2014,84,78,633,1349,247,26,147,New York Yankees
2014,79,83,629,1306,275,19,125,New York Mets
2014,88,74,729,1354,253,33,146,Oakland Athletics
2014,73,89,619,1356,251,27,125,Philadelphia Phillies
2014,88,74,682,1436,275,30,156,Pittsburgh Pirates
2014,77,85,535,1199,224,30,109,San Diego Padres
2014,87,75,634,1328,247,32,136,Seattle Mariners
2014,88,74,665,1407,257,42,132,San Francisco Giants
2014,90,72,619,1371,275,21,105,St. Louis Cardinals
2014,77,85,612,1361,263,24,117,Tampa Bay Rays
2014,67,95,637,1400,260,28,111,Texas Rangers
2014,83,79,723,1435,282,24,177,Toronto Blue Jays
2014,96,66,686,1403,265,27,152,Washington Nationals
